Word,Gloss,Phone,Environment,Stress,Tone,Duration (s),f0A,f0B,f0C,F1A,F1B,F1C,F2A,F2B,F2C,F3A,F3B,F3C
gon,liver,o,g_n,NaN,55,0.09600,115.6,113.9,112.7,436.7,412.5,400.5,943.2,931.1,955.2,2595,2740,2812
jam,drink,a,j_m,NaN,11,0.05613,94.62,92.41,92.46,1052,1016,894.9,1763,1498,2053,2656,2439,2969
se,eat,e,s_#,NaN,41,0.05877,105.4,100.3,89.99,400.5,388.4,364.3,1631,1739,1787,2559,2475,2282
ŋau,bite,au,ŋ_ŋ,NaN,31,0.2202,102.4,85.47,91.38,412.5,316.1,364.3,1401,1016,931.1,2487,2185,2764
kap,suck,a,k_p,NaN,33,0.03487,123.4,118.8,116.1,545.2,484.9,412,1003,967.3,991.4,2812,2728,2668
lœ,lick,œ,l_#,NaN,55,0.1580,115.7,115.7,112.7,436.7,460.8,424.6,1389,1450,1245,2535,2451,2342
au,vomit,au,#_#,NaN,313,0.2160,96.79,81.76,94.53,822.6,689.9,304,1401,870.8,750.2,3271,2993,2318
t͡ʃoi,blow,oi,t͡ʃ_#,NaN,54,0.1129,119.7,110.9,103.9,472.8,388.4,328.1,1305,1534,1486,2776,2668,2812
fu ka,breath,u,f_k,NaN,55,0.1093,129.8,124.5,123.3,364.3,304,340.2,870,786.4,858.8,1606,1968,2535
fu ka,breath,a,k_b,NaN,55,0.09632,132.7,129.4,137.3,497,545,533.1,1257,1088,1016,2632,2812,2740
siu,laugh,iu,s_#,NaN,33,0.1023,121.3,115.3,116.7,304,291,304,1908,1353,1401,2680,2656,2837
